Date,<TICKER>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,TITAN,146,156,146,156,3.55E+11,23000,154,D,146,145
1,TITAN,152,152,144,147,3.86E+11,26300,147,D,152,156
2,TITAN,144,149,136,138,2.94E+11,20600,143,D,144,147
3,TITAN,142,150,141,150,4.67E+11,31600,148,D,142,138
4,TITAN,150,153,145,146,5.44E+11,36600,149,D,150,150
5,TITAN,150,150,141,145,4.81E+11,33100,145,D,150,146
6,TITAN,138,147,137,141,1.08E+12,75600,142,D,138,145
7,TITAN,152,152,146,148,2.98E+11,19711,151,D,152,141
8,TITAN,152,157,146,149,9.69E+11,62777,154,D,152,148
9,TITAN,150,150,143,145,2.07E+11,14332,145,D,150,149
10,TITAN,143,151,142,144,1.14E+11,7947,144,D,143,145
11,TITAN,142,145,136,139,4.97E+11,35683,139,D,142,144
12,TITAN,143,145,140,142,3.26E+11,22876,142,D,143,139
13,TITAN,143,143,138,141,2.78E+11,19869,140,D,143,142
14,TITAN,139,141,137,139,1.84E+11,13270,139,D,139,141
15,TITAN,139,143,139,140,1.47E+11,10451,141,D,139,139
16,TITAN,140,140,137,138,1.24E+11,8983,139,D,140,140
17,TITAN,140,145,137,139,56952240000,4109,139,D,140,138
18,TITAN,135,138,135,136,1.14E+11,8399,136,D,135,139
19,TITAN,132,138,132,136,1.84E+11,13556,136,D,132,136
20,TITAN,131,144,125,135,80716705000,6038,134,D,131,136
21,TITAN,137,137,127,129,1.03E+11,7818,132,D,137,135
22,TITAN,127,130,125,126,78809755000,6218,127,D,127,129
23,TITAN,129,129,120,124,64516300000,5275,122,D,129,126
24,TITAN,127,127,114,114,91167655000,7818,117,D,127,124
25,TITAN,107,120,107,118,1.14E+11,9764,116,D,107,114
26,TITAN,120,123,115,118,1.62E+11,13661,119,D,120,118
27,TITAN,119,121,116,117,1.00E+11,8545,118,D,119,118
28,TITAN,116,116,108,109,1.71E+11,15556,110,D,116,117
29,TITAN,104,107,102,102,53532350000,5161,104,D,104,109
30,TITAN,102,107,100,102,1.48E+11,14364,103,D,102,102
31,TITAN,105,108,103,104,69077220000,6534,106,D,105,102
32,TITAN,106,111,104,110,94131090000,8806,107,D,106,104
33,TITAN,107,110,105,107,44297760000,4141,107,D,107,110
34,TITAN,102,110,102,106,84363815000,7977,106,D,102,107
35,TITAN,105,108,105,107,1.14E+11,10745,106,D,105,106
36,TITAN,105,109,105,109,29779170000,2807,106,D,105,107
37,TITAN,105,108,105,107,16660500000,1562,107,D,105,109
38,TITAN,108,108,100,103,31240050000,3021,103,D,108,107
39,TITAN,101,103,101,103,78155090000,7728,101,D,101,103
40,TITAN,101,109,100,101,45250385000,4410,103,D,101,103
41,TITAN,103,104,100,102,20067190000,1966,102,D,103,101
42,TITAN,103,105,96,96,2.13E+11,21054,101,D,103,102
43,TITAN,96,96,89,89,33698275000,3765,90,D,96,96
44,TITAN,91,94,85,88,1.40E+11,15524,90,D,91,89
45,TITAN,87,89,81,85,38844725000,4579,85,D,87,88
46,TITAN,88,88,79,80,28332755000,3464,82,D,88,85
47,TITAN,80,80,74,74,23293085000,3086,75,D,80,80
48,TITAN,72,76,69,72,58934425000,8192,72,D,72,74
49,TITAN,72,75,70,75,32818705000,4465,74,D,72,72
50,TITAN,75,81,75,81,45875020000,5800,79,D,75,75
51,TITAN,86,87,85,87,49059930000,5649,87,D,86,81
52,TITAN,94,94,88,91,1.84E+11,20071,92,D,94,87
53,TITAN,92,94,89,90,2.03E+11,22436,90,D,92,91
54,TITAN,97,97,92,96,80096715000,8459,95,D,97,90
55,TITAN,100,100,95,98,84317230000,8573,98,D,100,96
56,TITAN,96,96,93,95,97840485000,10338,95,D,96,98
57,TITAN,99,99,88,89,90174940000,10095,89,D,99,95
58,TITAN,89,90,86,88,89066500000,10129,88,D,89,89
59,TITAN,90,94,88,88,86744985000,9654,90,D,90,88
60,TITAN,86,90,86,90,1.18E+11,13190,90,D,86,88
61,TITAN,84,90,84,90,60412075000,6741,90,D,84,90
62,TITAN,91,92,88,90,59885070000,6653,90,D,91,90
63,TITAN,88,88,83,85,1.63E+11,19169,85,D,88,90
64,TITAN,85,89,83,84,79008685000,9305,85,D,85,85
65,TITAN,85,85,77,77,79695800000,10175,78,D,85,84
66,TITAN,82,83,79,83,93838300000,11468,82,D,82,77
67,TITAN,88,89,81,84,1.80E+11,21022,85,D,88,83
68,TITAN,78,84,78,84,30821250000,3735,83,D,78,84
69,TITAN,83,85,82,82,44345370000,5339,83,D,83,84
70,TITAN,77,84,77,82,1.23E+11,14904,83,D,77,82
71,TITAN,78,84,78,83,51450395000,6273,82,D,78,82
72,TITAN,83,85,81,81,41817550000,5101,82,D,83,83
73,TITAN,83,83,81,82,21491330000,2622,82,D,83,81
74,TITAN,79,82,79,81,54670170000,6812,80,D,79,82
75,TITAN,78,79,74,75,78193115000,10235,76,D,78,81
76,TITAN,72,74,70,71,84772410000,11868,71,D,72,75
77,TITAN,75,76,74,76,53305200000,7078,75,D,75,71
78,TITAN,76,77,73,73,67283800000,9028,75,D,76,76
79,TITAN,73,73,69,70,72494050000,10282,71,D,73,73
80,TITAN,70,70,66,68,56849100000,8326,68,D,70,70
81,TITAN,68,71,67,70,31877240000,4574,70,D,68,68
82,TITAN,70,71,69,70,37161200000,5305,70,D,70,70
83,TITAN,70,70,68,69,46688010000,6754,69,D,70,70
84,TITAN,69,69,65,66,84085900000,12584,67,D,69,69
85,TITAN,65,68,61,66,41394215000,6344,65,D,65,66
86,TITAN,68,69,62,63,1.79E+11,27496,65,D,68,66
87,TITAN,61,64,60,60,1.11E+11,18095,61,D,61,63
88,TITAN,62,63,61,61,37783115000,6125,62,D,62,60
89,TITAN,62,62,58,60,38940775000,6497,60,D,62,61
90,TITAN,60,61,59,60,41981065000,7026,60,D,60,60
91,TITAN,63,65,61,63,77335710000,12297,63,D,63,60
92,TITAN,62,64,62,63,32877715000,5217,63,D,62,63
93,TITAN,64,64,59,60,70808630000,11639,61,D,64,63
94,TITAN,60,61,58,60,48713245000,8156,60,D,60,60
95,TITAN,60,61,59,60,41584025000,6924,60,D,60,60
96,TITAN,62,64,61,63,23868970000,3779,63,D,62,60
97,TITAN,65,68,64,66,56251200000,8511,66,D,65,63
98,TITAN,67,69,66,68,64968215000,9635,67,D,67,66
99,TITAN,68,70,68,69,33751990000,4900,69,D,68,68
100,TITAN,70,73,68,72,41345685000,5920,70,D,70,69
101,TITAN,75,76,73,74,1.21E+11,16239,75,D,75,72
102,TITAN,72,73,68,70,68386285000,9670,71,D,72,74
103,TITAN,67,73,67,71,31722760000,4502,70,D,67,70
104,TITAN,69,73,69,71,26383810000,3720,71,D,69,71
105,TITAN,70,71,68,69,46173025000,6699,69,D,70,71
106,TITAN,70,70,68,69,40743310000,5887,69,D,70,69
