Date,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<OPENINT>,<PER>,<OPEN>,<LAST>,SMA,SMA_b,WMA,WMA_b,MOM,MOM_b,STCK,STCK_b,LWR,LWR_b,ADO,ADO_b,CCI,CCI_b,TREND
0,1800,1800,1800,1800,1810,D,1800,1800,1800.0,1,1800.0,1,1800,1,1800.0,1,1800.0,1,1800.0,1,1800.0,1,1
1,1890,1890,1890,1890,257,D,1800,1890,1890.0,1,1890.0,1,1890,1,1890.0,1,1890.0,1,1890.0,1,1890.0,1,1
2,1984,1984,1984,1984,1227,D,1890,1984,1984.0,1,1984.0,1,1984,1,1984.0,1,1984.0,1,1984.0,1,1984.0,1,1
3,2083,2083,2083,2083,198,D,1984,2083,2083.0,1,2083.0,1,2083,1,2083.0,1,2083.0,1,2083.0,1,2083.0,1,1
4,2187,2187,2060,2162,1834,D,2083,2162,2162.0,1,2162.0,1,2162,1,2162.0,1,2162.0,1,2162.0,1,2162.0,1,1
5,2100,2270,2100,2262,335,D,2162,2262,2262.0,1,2262.0,1,2262,1,2262.0,1,2262.0,1,2262.0,1,2262.0,1,1
6,2375,2375,2271,2317,371,D,2262,2317,2317.0,1,2317.0,1,2317,1,2317.0,1,2317.0,1,2317.0,1,2317.0,1,1
7,2361,2361,2231,2281,227,D,2317,2281,2281.0,1,2281.0,1,2281,1,2281.0,1,2281.0,1,2281.0,1,2281.0,1,1
8,2288,2350,2222,2293,238,D,2281,2293,2293.0,1,2293.0,1,2293,1,2293.0,1,2293.0,1,2293.0,1,2293.0,1,1
9,2301,2392,2300,2338,272,D,2293,2338,2338.0,1,2338.0,1,2338,1,2338.0,1,2338.0,1,2338.0,1,2338.0,1,1
10,2300,2300,2243,2295,99,D,2338,2295,2141.0,1,2050.5454545454545,1,2295,1,2295.0,1,2295.0,1,2295.0,1,2295.0,1,1
11,2265,2302,2250,2266,59,D,2295,2266,2190.5,1,2121.5454545454545,1,466,1,91.70731707317074,0,8.292682926829269,0,69.23076923076923,0,47.043854144879035,0,1
12,2300,2379,2300,2359,78,D,2266,2359,2228.1,1,2183.018181818182,1,469,1,118.67088607594938,1,-18.670886075949365,0,25.31645569620253,0,88.70128641695038,1,1
13,2476,2476,2476,2476,34,D,2359,2476,2265.6,1,2234.2181818181816,1,492,1,173.33333333333334,1,-73.33333333333333,0,,0,213.60013014478605,0,1
14,2599,2599,2599,2599,15,D,2476,2599,2304.9,1,2274.5636363636363,1,516,1,129.56730769230768,0,-29.567307692307693,1,,0,335.62606316100874,0,1
15,2728,2728,2611,2712,161,D,2599,2712,2348.6,1,2308.490909090909,1,550,1,122.64529058116231,0,-22.645290581162325,1,13.675213675213676,0,288.877591368694,0,0
16,2710,2729,2577,2652,92,D,2712,2652,2393.6,1,2332.418181818182,1,390,1,110.53984575835476,0,-10.539845758354756,1,50.6578947368421,1,148.74176436163137,0,0
17,2520,2574,2520,2574,13,D,2652,2574,2427.1,1,2352.4363636363637,1,257,1,90.48843187660668,0,9.511568123393316,1,0.0,0,61.60697717572822,0,0
18,2446,2510,2446,2450,70,D,2574,2450,2456.4,1,2384.327272727273,1,169,1,58.61182519280206,0,41.38817480719794,1,93.75,1,8.795115542159381,0,0
19,2328,2400,2328,2347,68,D,2450,2347,2472.1,1,2416.890909090909,1,54,1,28.26086956521739,0,71.73913043478261,1,73.61111111111111,0,-57.92037272342238,0,0
20,2326,2365,2300,2343,60,D,2347,2343,2473.0,1,2441.4363636363637,1,5,1,27.173913043478258,0,72.82608695652173,1,33.84615384615385,0,-71.49628834630167,0,1
