SMA,SMA_b,WMA_b,STCK_b,MOM_b,LWR_b,ADO_b,CCI_b,TREND
2436.4,0,0,0,0,1,0,0,0
3015.5,1,1,0,1,1,0,0,0
1251.6,1,1,0,1,1,0,0,0
2393.0,1,1,1,1,0,1,1,0
1645.8,0,0,1,0,0,0,1,1
1862.2,0,0,0,0,1,0,1,0
2327.8,1,1,1,1,0,0,1,1
2559.5,0,0,0,0,1,1,1,0
2501.6,1,1,0,1,1,0,0,1
2068.0,0,0,0,1,1,1,0,0
3390.0,1,1,0,1,1,1,0,0
2445.2,1,1,0,0,1,1,0,0
1560.9,1,1,1,1,0,0,1,0
1340.5,0,0,0,0,1,0,1,1
34162.0,0,0,0,0,1,0,0,1
32218.0,0,0,1,0,0,0,1,1
2303.0,0,0,1,1,0,1,1,1
4239.1,0,0,1,0,0,0,1,1
1512.7,0,1,1,0,0,1,1,0
41325.0,1,1,0,0,1,0,0,0
1527.9,1,1,0,1,1,1,0,0
1894.2,0,1,0,0,1,1,0,0
1493.4,0,0,1,1,0,0,1,1
33014.0,0,0,1,0,0,0,1,1
1980.3,0,0,1,0,0,0,1,1
1580.6,1,1,0,0,1,0,0,1
2494.1,0,0,1,0,0,1,1,1
1331.1,0,0,0,0,1,1,1,0
1906.7,0,0,0,1,1,1,0,0
2649.0,1,1,0,1,0,0,0,1
1519.6,0,0,0,0,1,0,0,0
1192.7,0,0,1,0,0,1,1,1
1821.6,0,0,0,1,1,1,0,0
1207.3,1,1,0,0,1,0,0,0
8304.0,1,1,1,1,0,0,0,0
3360.9,0,0,1,0,0,1,1,0
1599.9,0,0,1,1,0,0,1,1
5567.3,1,1,1,1,0,0,1,1
2736.4,0,0,1,0,0,0,1,1
1263.9,0,1,1,0,0,0,0,0
3890.7,1,1,0,1,1,0,1,1
1674.4,0,0,0,0,1,1,0,0
2057.7,1,1,1,1,0,0,1,1
6580.8,1,1,1,0,0,0,1,0
2630.0,0,0,0,0,0,1,1,0
4570.5,1,1,1,1,0,0,0,1
4077.8,0,1,0,0,1,0,1,0
1260.4,0,0,0,0,0,0,1,1
24141.0,1,1,1,1,0,0,0,1
3094.2,0,0,0,0,1,0,0,1
2441.0,0,0,1,0,0,0,1,1
2068.7,0,0,0,0,1,1,1,0
20207.3,1,1,0,1,1,1,0,1
1772.3,1,1,0,1,1,0,0,0
2376.0,0,0,1,0,0,1,1,0
1256.7,0,0,0,0,0,0,1,1
1804.7,1,1,1,1,0,0,1,1
2812.2,0,0,1,0,0,0,1,1
14380.1,0,0,1,0,0,1,1,0
3321.0,0,0,0,0,1,1,0,0
1324.4,0,0,1,1,0,0,1,1
1809.0,0,0,0,0,1,1,0,1
2373.1,0,0,0,0,1,1,0,0
2813.2,0,0,0,0,0,0,1,1
1193.8,1,1,0,1,1,0,0,0
4164.2,1,0,1,1,0,1,0,1
31152.0,0,0,1,0,0,0,1,1
2034.9,0,0,0,0,1,0,0,0
4537.0,0,0,0,1,1,1,0,0
2032.1,1,1,1,1,0,0,0,1
2597.7,1,0,1,1,0,0,1,1
2417.1,1,1,1,1,0,0,1,0
22808.4,1,1,1,1,0,0,0,1
3067.4,0,0,0,0,1,1,1,0
3132.6,0,0,1,0,0,1,1,0
2315.5,1,1,1,1,0,0,0,1
2248.9,1,1,1,1,0,0,1,1
2193.6,1,1,0,1,1,0,1,1
2605.5,0,0,0,1,1,0,0,0
1508.2,1,1,1,1,0,1,1,1
1118.8,0,0,0,0,1,1,0,0
1501.7,1,0,0,1,0,1,0,1
2566.3,0,0,0,0,1,0,0,0
1021.3,0,0,1,0,0,1,1,1
2974.9,1,1,0,1,1,0,0,1
1864.1,1,1,1,1,0,0,1,1
1799.7,1,1,0,1,1,0,0,0
2491.9,1,1,0,1,1,1,0,0
1297.5,1,1,0,1,1,1,0,0
1453.9,0,0,1,0,0,0,1,1
2329.2,0,0,0,0,1,0,1,1
2597.5,0,0,0,0,1,1,0,0
1493.0,1,0,1,1,0,0,1,0
2585.7,0,1,0,0,1,0,0,1
1038.3,0,0,0,0,0,0,0,1
1638.9,1,1,1,1,0,0,0,0
1462.8,1,1,0,1,1,0,0,1
1234.7,0,0,1,0,0,1,1,1
2918.1,0,0,0,1,0,0,0,0
2213.3,0,0,1,0,0,0,1,1
