SMA,SMA_b,WMA_b,STCK_b,MOM_b,LWR_b,ADO_b,CCI_b
9021.7,1,1,0,1,1,0,0
9079.3,1,1,0,1,1,1,0
9083.3,1,1,1,1,0,0,0
9071.0,1,1,0,0,1,1,1
9006.2,1,1,1,0,0,0,1
8966.5,1,1,1,0,0,1,1
8940.1,1,1,0,0,1,1,0
8862.1,0,1,0,0,1,0,0
8749.8,0,0,0,0,1,0,1
8642.1,0,0,1,0,0,0,1
8578.7,0,0,0,0,1,1,1
8504.2,0,0,0,0,1,0,1
8453.0,0,0,1,0,0,0,1
8418.1,0,0,1,0,0,0,1
8439.8,0,0,1,1,0,1,1
8462.2,0,0,0,0,1,0,0
8445.3,0,0,0,0,1,0,0
8426.1,0,0,0,0,1,0,0
8407.4,0,0,1,0,0,0,1
8429.8,0,0,1,1,0,0,1
8452.6,0,0,1,1,0,1,1
8499.2,1,1,0,1,1,1,0
8524.9,1,1,0,1,1,0,0
8499.9,1,1,0,0,1,1,0
8422.1,0,1,0,0,1,1,0
8295.2,0,0,1,0,0,0,1
8208.3,0,0,0,0,1,1,0
8129.3,0,0,0,0,1,1,0
8046.4,0,0,1,0,0,0,1
7922.5,0,0,1,0,0,1,1
7786.1,0,0,1,0,0,0,1
7647.9,0,0,1,0,0,0,1
7557.8,0,0,1,0,0,1,1
7500.7,0,0,0,0,1,1,0
7444.0,0,0,0,0,1,0,0
7389.7,0,0,1,0,0,1,1
7337.7,0,0,1,0,0,0,1
7331.7,0,0,1,1,0,0,1
7373.3,0,0,0,1,1,1,0
7410.8,0,0,1,1,0,0,1
7452.5,0,0,1,1,0,0,1
7505.7,1,0,1,1,0,0,0
7563.0,1,1,0,1,1,1,0
7596.3,1,1,0,1,1,0,0
7647.5,1,1,0,1,1,1,0
7694.2,1,1,1,1,0,0,1
7742.0,1,1,1,1,0,0,1
7789.2,1,1,1,1,0,1,1
7816.9,1,1,0,1,1,1,0
7846.0,1,1,1,1,0,0,1
7886.6,1,1,1,1,0,1,1
7925.6,1,1,0,1,1,1,1
7946.7,1,1,0,1,1,1,0
7982.5,1,1,0,1,1,0,0
8016.9,1,1,0,1,1,1,0
8071.4,1,1,1,1,0,0,0
8120.3,1,1,0,1,1,1,0
8126.4,1,1,0,1,1,0,0
8123.8,1,1,1,1,0,0,1
8173.0,1,1,0,0,1,1,1
7958.1,0,1,1,0,0,0,1
7738.9,0,1,1,0,0,0,1
7532.5,0,0,1,0,0,1,1
7336.2,0,0,1,0,0,0,1
7153.9,0,0,1,0,0,0,1
6999.0,0,0,1,0,0,0,1
6859.8,0,0,1,0,0,1,1
6762.5,0,0,1,0,0,0,1
6694.0,0,0,1,0,0,1,1
6602.9,0,0,1,0,0,1,1
6729.0,0,0,1,1,0,0,0
6840.4,0,0,0,1,1,1,0
6912.3,0,0,0,1,1,0,0
6961.2,1,0,1,1,0,0,0
7010.3,1,1,0,1,1,1,0
7022.1,1,1,0,1,1,0,0
7004.6,1,1,0,0,1,1,1
6943.7,1,1,1,0,0,0,1
6856.8,0,1,1,0,0,0,1
6779.0,0,1,1,0,0,1,1
6745.9,0,0,1,0,0,0,1
6716.3,0,0,0,0,1,1,0
6684.3,0,0,0,0,1,0,0
6658.1,0,0,0,0,1,0,0
6619.2,0,0,1,0,0,0,1
6614.7,0,0,1,1,0,1,1
6624.6,0,0,0,0,1,1,0
6640.0,0,0,1,1,0,0,0
6659.3,0,0,0,1,1,1,0
6658.6,0,0,0,0,1,0,0
6635.6,0,0,1,0,0,0,1
6624.3,0,0,1,0,0,1,1
6642.8,1,0,0,0,1,1,0
6649.3,1,0,1,1,0,0,0
6663.7,1,1,0,1,1,1,0
6652.4,1,1,0,0,1,0,0
6626.3,0,0,1,0,0,1,1
6616.3,0,0,0,0,1,0,0
6603.5,0,0,0,0,1,0,0
6597.2,0,0,1,1,0,1,1
6604.1,0,1,0,0,1,1,0
6582.7,0,0,0,0,1,0,0
6550.6,0,0,1,0,0,1,1
6538.2,0,0,1,0,0,0,1
6523.3,0,0,0,0,1,1,0
6513.0,0,0,0,0,1,1,0
6505.5,0,0,1,0,0,0,1
6500.8,0,0,0,0,1,1,1
6476.2,0,0,0,0,1,0,1
6434.1,0,0,1,0,0,0,1
6397.9,0,0,1,0,0,1,1
6390.6,0,0,1,1,0,0,1
6403.5,0,0,1,1,0,1,1
6427.4,0,0,0,1,1,0,0
6443.6,0,0,0,0,1,1,0
6439.7,0,0,0,0,1,0,0
6439.9,0,0,1,1,0,0,1
6455.8,1,0,1,1,0,1,1
