Date,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<OPENINT>,<PER>,<OPEN>,<LAST>,SMA,SMA_b,WMA,WMA_b,MOM,MOM_b,STCK,STCK_b,LWR,LWR_b,ADO,ADO_b,CCI,CCI_b,TREND
0,26000.0,26000.0,24885.0,24885.0,22,D,26000.0,24885.0,24885.0,1,24885.0,1,24885.0,1,24885.0,1,24885.0,1,24885.0,1,24885.0,1,1
1,24885.0,24885.0,24885.0,24885.0,2,D,24885.0,24885.0,24885.0,1,24885.0,1,24885.0,1,24885.0,1,24885.0,1,24885.0,1,24885.0,1,1
2,25000.0,25000.0,25000.0,25000.0,5,D,24885.0,25000.0,25000.0,1,25000.0,1,25000.0,1,25000.0,1,25000.0,1,25000.0,1,25000.0,1,1
3,25003.0,25003.0,25003.0,25003.0,1,D,25000.0,25003.0,25003.0,1,25003.0,1,25003.0,1,25003.0,1,25003.0,1,25003.0,1,25003.0,1,1
4,25010.0,25010.0,25010.0,25010.0,1,D,25003.0,25010.0,25010.0,1,25010.0,1,25010.0,1,25010.0,1,25010.0,1,25010.0,1,25010.0,1,1
5,25035.0,25035.0,25034.0,25034.0,2,D,25010.0,25034.0,25034.0,1,25034.0,1,25034.0,1,25034.0,1,25034.0,1,25034.0,1,25034.0,1,1
6,25200.0,25300.0,25200.0,25300.0,11,D,25034.0,25300.0,25300.0,1,25300.0,1,25300.0,1,25300.0,1,25300.0,1,25300.0,1,25300.0,1,1
7,25400.0,25500.0,25400.0,25500.0,15,D,25300.0,25500.0,25500.0,1,25500.0,1,25500.0,1,25500.0,1,25500.0,1,25500.0,1,25500.0,1,1
8,25500.0,25600.0,25500.0,25600.0,3,D,25500.0,25600.0,25600.0,1,25600.0,1,25600.0,1,25600.0,1,25600.0,1,25600.0,1,25600.0,1,1
9,25700.0,25700.0,25700.0,25700.0,7,D,25600.0,25700.0,25700.0,1,25700.0,1,25700.0,1,25700.0,1,25700.0,1,25700.0,1,25700.0,1,1
10,25701.0,25702.0,25701.0,25701.0,3,D,25700.0,25701.0,25191.7,1,25048.47272727273,1,25701.0,1,25701.0,1,25701.0,1,25701.0,1,25701.0,1,1
11,26001.0,26003.0,26001.0,26002.0,6,D,25701.0,26002.0,25273.3,1,25119.072727272727,1,1117.0,1,136.88725490196077,0,-36.88725490196079,0,50.0,0,177.8339552987442,0,1
12,26005.0,26008.0,26005.0,26007.0,3,D,26002.0,26007.0,25385.0,1,25209.98181818182,1,1122.0,1,100.5994005994006,0,-0.5994005994005994,1,33.33333333333333,0,134.8420153714778,0,1
13,26200.0,26210.0,26200.0,26210.0,4,D,26007.0,26210.0,25485.7,1,25298.29090909091,1,1210.0,1,120.45908183632734,1,-20.459081836327346,0,0.0,0,152.46836323181773,1,1
14,27520.0,27520.0,27520.0,27520.0,19,D,26210.0,27520.0,25606.4,1,25408.0,1,2517.0,1,210.92436974789916,1,-110.92436974789916,0,,0,391.95273505144183,0,1
15,27520.0,27520.0,27520.0,27520.0,5,D,27520.0,27520.0,25857.4,1,25562.072727272727,1,2510.0,1,100.0,0,0.0,1,,0,237.6008408135442,0,1
16,33000.0,34000.0,32001.0,32001.0,6,D,27520.0,32001.0,26106.0,1,25756.98181818182,1,6967.0,1,293.1465517241379,1,-193.14655172413794,0,100.0,0,740.1359011900756,0,1
17,33600.0,33601.0,32600.0,33601.0,15,D,32001.0,33601.0,26776.1,1,26025.363636363636,1,8301.0,1,124.23875170428722,0,-24.23875170428723,1,0.0,0,297.7537453010136,0,1
18,33602.0,33602.0,33602.0,33602.0,1,D,33601.0,33602.0,27586.2,1,26404.672727272726,1,8102.0,1,114.11267605633803,0,-14.112676056338028,1,,0,186.43254892678743,0,1
19,35279.0,35280.0,35279.0,35280.0,16,D,33602.0,35280.0,28386.4,1,26911.29090909091,1,9680.0,1,121.23513034674767,1,-21.235130346747656,0,0.0,0,160.15345348149515,0,0
20,35280.0,35281.0,35279.0,35279.0,6,D,35280.0,35279.0,29344.4,1,27573.909090909092,1,9579.0,1,100.0,0,0.0,1,100.0,1,113.67888128337557,0,1
21,35275.0,35280.0,35275.0,35280.0,15,D,35279.0,35280.0,30302.2,1,28410.49090909091,1,9579.0,1,100.01077818495365,1,-0.010778184953653805,0,0.0,0,89.45187383507354,0,1
22,35310.0,35324.0,35310.0,35324.0,4,D,35280.0,35324.0,31230.0,1,29361.036363636365,1,9322.0,1,100.48522751779167,1,-0.48522751779167567,0,0.0,0,75.97534267784411,0,1
23,36160.0,36207.0,36160.0,36207.0,10,D,35324.0,36207.0,32161.7,1,30480.072727272727,1,10200.0,1,109.8463227222832,1,-9.846322722283206,0,0.0,0,86.88592649267606,1,1
24,36207.0,36228.0,36207.0,36228.0,5,D,36207.0,36228.0,33161.4,1,31743.963636363635,1,10018.0,1,100.78703703703704,0,-0.787037037037037,1,0.0,0,85.04514118026995,0,1
25,37133.0,37133.0,37133.0,37133.0,7,D,36228.0,37133.0,34032.2,1,32928.0,1,9613.0,1,110.65960630827674,1,-10.659606308276736,0,,0,111.3222049802041,1,1
26,38989.0,38989.0,38989.0,38989.0,7,D,37133.0,38989.0,34993.5,1,34286.818181818184,1,11469.0,1,136.16523772408416,1,-36.16523772408418,0,,0,238.78808317926422,0,1
27,39378.0,39378.0,39378.0,39378.0,6,D,38989.0,39378.0,35692.3,1,34957.96363636364,1,7377.0,1,106.08858976365629,0,-6.088589763656285,1,,0,209.92054987159395,0,0
28,21000.0,22250.0,16200.0,22250.0,59,D,39378.0,22250.0,36270.0,1,35443.236363636366,1,-11351.0,0,-196.53739612188366,0,296.53739612188366,1,0.0,0,-797.8682112680254,1,1
29,22806.0,22806.0,22806.0,22806.0,4,D,22250.0,22806.0,35134.8,1,35721.92727272727,1,-10796.0,0,28.501164897747866,1,71.49883510225213,0,,0,-274.98404807049724,1,1
30,23034.0,23034.0,23034.0,23034.0,1,D,22806.0,23034.0,33887.4,1,35468.72727272727,1,-12246.0,0,29.484856329277765,1,70.51514367072224,0,,0,-145.91651890807546,1,1
